Date,Open,High,Low,Close,Adj Close,Volume
2021-09-10,1.182355,1.185300,1.181935,1.182592,1.182592,0
2021-09-13,1.181251,1.181754,1.177060,1.181195,1.181195,0
2021-09-14,1.181070,1.184699,1.180200,1.181195,1.181195,0
2021-09-15,1.180359,1.183300,1.180100,1.180498,1.180498,0
2021-09-16,1.181935,1.182313,1.175171,1.182000,1.182000,0
2021-09-17,1.176484,1.178967,1.172966,1.176747,1.176747,0
2021-09-20,1.172883,1.173709,1.170056,1.172993,1.172993,0
2021-09-21,1.172567,1.174895,1.171591,1.173020,1.173020,0
2021-09-22,1.172608,1.174453,1.171715,1.172292,1.172292,0
2021-09-23,1.168893,1.175101,1.168419,1.168770,1.168770,0
2021-09-24,1.174178,1.174812,1.170166,1.174026,1.174026,0
2021-09-27,1.172209,1.172800,1.168661,1.172305,1.172305,0
2021-09-28,1.169604,1.170600,1.166997,1.169680,1.169680,0
2021-09-29,1.168688,1.169200,1.161009,1.168634,1.168634,0
2021-09-30,1.160227,1.161170,1.157006,1.160160,1.160160,0
2021-10-01,1.157421,1.160900,1.156390,1.157448,1.157448,0
2021-10-04,1.160726,1.164009,1.158856,1.160726,1.160726,0
2021-10-05,1.161656,1.162250,1.158306,1.161845,1.161845,0
2021-10-06,1.159514,1.159958,1.153017,1.159608,1.159608,0
2021-10-07,1.155535,1.157140,1.154935,1.155535,1.155535,0
2021-10-08,1.155922,1.158373,1.154255,1.155976,1.155976,0
2021-10-11,1.156591,1.158749,1.155295,1.156604,1.156604,0
2021-10-12,1.155295,1.157006,1.153389,1.155375,1.155375,0
2021-10-13,1.153097,1.157901,1.153057,1.153403,1.153403,0
2021-10-14,1.159958,1.162500,1.158467,1.159958,1.159958,0
2021-10-15,1.159071,1.161980,1.158883,1.159152,1.159152,0
2021-10-18,1.159595,1.161211,1.157300,1.159703,1.159703,0
2021-10-19,1.161454,1.167000,1.161454,1.161386,1.161386,0
2021-10-20,1.163386,1.165401,1.161805,1.163196,1.163196,0
